code	description	category
I10	原发性高血压	循环系统疾病
I11.0	高血压性心脏病伴心力衰竭	循环系统疾病
I11.9	高血压性心脏病（不伴心力衰竭）	循环系统疾病
E11.9	2型糖尿病（不伴有并发症）	内分泌疾病
E11.5	2型糖尿病伴有循环系统并发症	内分泌疾病
E11.6	2型糖尿病伴有其他特指的并发症	内分泌疾病
J06.9	急性上呼吸道感染（未特指）	呼吸系统疾病
J18.9	肺炎（未特指）	呼吸系统疾病
J45.9	哮喘（未特指）	呼吸系统疾病
K29.7	胃炎（未特指）	消化系统疾病
K35.9	急性阑尾炎（未特指）	消化系统疾病
K40.9	腹股沟疝（未特指）	消化系统疾病
M54.5	腰痛	肌肉骨骼系统疾病
M54.2	颈痛	肌肉骨骼系统疾病
M79.3	未特指的软组织疾患	肌肉骨骼系统疾病
N18.9	慢性肾脏病（未特指）	泌尿系统疾病
N39.0	泌尿道感染	泌尿系统疾病
F32.9	抑郁发作（未特指）	精神行为障碍
F41.1	广泛性焦虑障碍	精神行为障碍
G43.9	偏头痛（未特指）	神经系统疾病
I21.9	急性心肌梗死（未特指）	循环系统疾病
I63.9	脑梗死（未特指）	循环系统疾病
I50.9	心力衰竭（未特指）	循环系统疾病
C34.9	肺恶性肿瘤（未特指）	肿瘤
C18.9	结肠恶性肿瘤（未特指）	肿瘤
C50.9	乳房恶性肿瘤（未特指）	肿瘤
D50.9	贫血（未特指）	血液疾病
E78.5	高脂血症	内分泌疾病
G40.9	癫痫（未特指）	神经系统疾病
H40.9	青光眼（未特指）	眼疾病
