code	description	category
38.8801	腹腔镜阑尾切除术	消化系统手术
47.0901	阑尾切除术	消化系统手术
47.0101	腹腔镜阑尾切除术	消化系统手术
39.6101	体外循环下的冠状动脉旁路移植术	心血管手术
36.0701	冠状动脉支架置入术	心血管手术
37.2101	心导管检查	心血管手术
88.5601	冠状动脉造影	心血管手术
80.5101	腰椎间盘切除术	骨科手术
81.5101	腰椎融合术	骨科手术
79.3001	股骨骨折开放复位内固定术	骨科手术
81.4301	全膝关节置换术	骨科手术
81.5101	全髋关节置换术	骨科手术
54.1101	腹腔镜胆囊切除术	消化系统手术
51.2201	胆囊切除术	消化系统手术
45.1301	内镜下结肠息肉切除术	消化系统手术
57.9401	经尿道前列腺电切术	泌尿系统手术
60.8101	前列腺摘除术	泌尿系统手术
66.9501	白内障超声乳化吸除术	眼科手术
66.8401	白内障囊外摘除术	眼科手术
39.9501	血液透析	泌尿系统操作
55.5101	肾切除术	泌尿系统手术
40.1101	甲状腺切除术	内分泌手术
06.3901	甲状腺部分切除术	内分泌手术
32.4101	肺叶切除术	呼吸系统手术
33.2201胸腔镜手术	呼吸系统手术
86.0401	皮肤病变切除术	皮肤手术
86.1101	皮肤活检	皮肤手术
68.4001	子宫切除术	妇科手术
65.6101	卵巢囊肿切除术	妇科手术
72.7101剖宫产术	产科手术
